Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A820013,Doobie,4/2/2021 17:43,Apr-21,10/9/2019,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Black/White
A829617,*Dweezil,4/3/2021 7:10,Apr-21,2/17/2018,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Blue
A830242,*Malachite,4/3/2021 7:11,Apr-21,3/5/2019,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull,Black/White
A831540,*Kitkat,4/3/2021 12:19,Apr-21,3/29/2020,Adoption,,Dog,Spayed Female,1 year,Doberman Pinsch,Chocolate
A831397,Oso,4/3/2021 12:20,Apr-21,3/26/2019,Rto-Adopt,,Dog,Neutered Male,2 years,Great Pyrenees,White
A831500,Chucho,4/3/2021 12:52,Apr-21,7/28/2020,Adoption,,Dog,Neutered Male,8 months,German Shepherd Mix,Black/Brown
A831636,Dixie,4/3/2021 12:53,Apr-21,12/30/2004,Adoption,Foster,Dog,Spayed Female,16 years,Jack Russell Terrier,White
A782694,*Alastor,4/3/2021 13:14,Apr-21,10/19/2016,Adoption,Foster,Dog,Neutered Male,4 years,American Staffordshire Terrier Mix,Brown/White
A831423,,4/3/2021 13:20,Apr-21,9/26/2020,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever Mix,Tan/Black
A822527,*Andy,4/3/2021 13:22,Apr-21,9/3/2020,Adoption,,Dog,Neutered Male,6 months,Labrador Retriever,Black
A831701,Peaches,4/3/2021 13:25,Apr-21,3/31/2019,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair,Tan
A831055,*Monk,4/3/2021 13:50,Apr-21,3/21/2018,Adoption,,Dog,Neutered Male,3 years,Blue Lacy Mix,Brown/White
A830740,Bruno,4/3/2021 13:54,Apr-21,3/15/2018,Adoption,,Dog,Neutered Male,3 years,Australian Shepherd,Black/Tan
A814802,*Jet,4/3/2021 14:27,Apr-21,12/9/2019,Adoption,Foster,Dog,Neutered Male,1 year,Border Collie Mix,Black/White
A825293,*Sookie,4/3/2021 15:26,Apr-21,11/1/2019,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,Red/White
A830172,Sully,4/3/2021 15:29,Apr-21,3/3/2019,Adoption,,Dog,Neutered Male,2 years,Rottweiler/Great Dane,Black/Tan
A819685,Max,4/3/2021 16:18,Apr-21,7/3/2018,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A740341,Ladybug,4/3/2021 16:19,Apr-21,12/15/2015,Adoption,,Dog,Spayed Female,5 years,Pit Bull Mix,Black/White
A831514,*Ernie,4/3/2021 17:48,Apr-21,3/28/2019,Adoption,,Dog,Neutered Male,2 years,German Shepherd/Alaskan Husky,Brown/Black
A831581,Dele,4/4/2021 12:00,Apr-21,3/29/2019,Transfer,Partner,Dog,Spayed Female,2 years,German Shepherd,Tan/Brown
A831704,Tiny,4/4/2021 12:07,Apr-21,3/31/2019,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red
A831649,,4/4/2021 12:13,Apr-21,12/1/2020,Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair,Red
A830115,*Bruce Wayne,4/4/2021 12:20,Apr-21,3/2/2019,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A831608,*Levi,4/4/2021 12:52,Apr-21,3/30/2019,Transfer,Partner,Dog,Intact Male,2 years,Beagle,White/Brown
A831655,,4/4/2021 13:43,Apr-21,3/31/2020,Transfer,Partner,Dog,Intact Female,1 year,Dachshund Mix,Black
A673963,Harry,4/4/2021 13:45,Apr-21,3/5/2013,Transfer,Partner,Dog,Neutered Male,8 years,Australian Cattle Dog Mix,Red Tick/Orange
A830267,Manchas,4/4/2021 15:54,Apr-21,3/5/2019,Adoption,,Dog,Neutered Male,2 years,Collie Smooth Mix,Tricolor
A831739,Duke,4/4/2021 16:20,Apr-21,5/1/2019,Adoption,,Dog,Neutered Male,1 year,Pit Bull,Fawn/White
A830427,Naya,4/4/2021 17:21,Apr-21,3/9/2019,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black
A831613,*Daisy,4/5/2021 12:02,Apr-21,3/30/2019,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair,Tricolor
A829445,Shenzi,4/5/2021 12:20,Apr-21,4/10/2020,Adoption,,Dog,Spayed Female,11 months,American Pit Bull Terrier,Brown/White
A831304,Lola,4/5/2021 13:36,Apr-21,3/25/2019,Adoption,,Dog,Spayed Female,2 years,Alaskan Husky Mix,Black/White
A831804,,4/5/2021 13:55,Apr-21,10/18/2020,Return to Owner,,Dog,Intact Male,5 months,Pit Bull,Brown/White
A831803,,4/5/2021 13:55,Apr-21,10/18/2020,Return to Owner,,Dog,Intact Female,5 months,Labrador Retriever Mix,Tan/White
A820715,Wiggles,4/5/2021 14:46,Apr-21,4/27/2020,Adoption,Foster,Dog,Spayed Female,11 months,Australian Kelpie/Labrador Retriever,Black/White
A830901,Barry,4/5/2021 15:49,Apr-21,3/18/2016,Return to Owner,,Dog,Neutered Male,5 years,Pit Bull Mix,Black
A830354,*Jibbitz,4/5/2021 16:52,Apr-21,9/8/2019,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Tan/White
A831931,Herbert,4/5/2021 17:06,Apr-21,4/5/2017,Return to Owner,,Dog,Neutered Male,4 years,Boxer Mix,Brown Brindle/White
A831679,Cheyenne,4/5/2021 17:17,Apr-21,11/13/2020,Adoption,,Dog,Spayed Female,4 months,Labrador Retriever,Yellow
A831638,,4/5/2021 17:45,Apr-21,10/30/2020,Adoption,,Dog,Neutered Male,5 months,Jack Russell Terrier/Chihuahua Shorthair,White/Tan
A829801,River Rose,4/5/2021 17:46,Apr-21,2/23/2019,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A720131,Molly O'Shaughnessy,4/5/2021 17:52,Apr-21,1/31/2016,Adoption,,Dog,Spayed Female,5 years,Australian Cattle Dog/Boxer,Black/White
A831813,Loki,4/6/2021 10:03,Apr-21,4/2/2019,Adoption,,Dog,Neutered Male,2 years,Siberian Husky,Black/White
A831743,*Wendell,4/6/2021 11:10,Apr-21,4/1/2019,Transfer,Partner,Dog,Neutered Male,2 years,Beagle/Chihuahua Shorthair,Tricolor
A831696,,4/6/2021 11:11,Apr-21,10/1/2019,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Brown
A831618,*Hawthorn,4/6/2021 11:11,Apr-21,3/30/2019,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair,Tan
A831652,,4/6/2021 11:17,Apr-21,3/31/2019,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund Mix,Brown
A831314,Prince,4/6/2021 11:39,Apr-21,5/25/2020,Adoption,Foster,Dog,Neutered Male,10 months,Miniature Schnauzer Mix,Buff
A831124,*Finn,4/6/2021 11:57,Apr-21,3/22/2019,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Blue
A808404,*Limburger,4/6/2021 11:59,Apr-21,11/8/2017,Adoption,Foster,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
A831842,,4/6/2021 13:55,Apr-21,4/2/2017,Transfer,Partner,Dog,Spayed Female,4 years,Miniature Schnauzer,White/Gray
A780287,Chico,4/6/2021 15:25,Apr-21,9/13/2011,Return to Owner,,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Cream
A813660,*Jack,4/6/2021 16:48,Apr-21,12/15/2017,Adoption,,Dog,Neutered Male,3 years,Australian Kelpie Mix,Tricolor
A814224,Gizmo,4/6/2021 17:49,Apr-21,2/26/2018,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever,Red/White
A832054,,4/6/2021 18:32,Apr-21,4/4/2021,Transfer,Partner,Dog,Intact Female,2 days,Chinese Sharpei Mix,Tan
A831980,Max,4/7/2021 11:14,Apr-21,4/5/2013,Return to Owner,,Dog,Intact Male,8 years,Chihuahua Shorthair,White/Brown
A831619,*Oleander,4/7/2021 12:11,Apr-21,3/30/2019,Adoption,Foster,Dog,Neutered Male,2 years,Chihuahua Shorthair,White/Brown
A831773,Daisy,4/7/2021 12:34,Apr-21,4/1/2019,Rto-Adopt,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
A829398,Moby,4/7/2021 13:33,Apr-21,2/9/2019,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle/Cocker Spaniel,Chocolate/White
A832089,,4/7/2021 14:58,Apr-21,3/7/2021,Transfer,Partner,Dog,Intact Female,4 weeks,Pug,Brown/Black
A831630,,4/7/2021 16:37,Apr-21,11/30/2020,Adoption,,Dog,Neutered Male,4 months,Labrador Retriever Mix,Brown Brindle/White
A793213,Bruce,4/7/2021 16:39,Apr-21,12/1/2018,Adoption,,Dog,Neutered Male,2 years,Siberian Husky Mix,Cream/Red
A831872,,4/7/2021 16:40,Apr-21,4/3/2019,Adoption,,Dog,Spayed Female,2 years,Pomeranian Mix,Red
A831699,*Lurie,4/7/2021 17:08,Apr-21,1/26/2021,Return to Owner,,Dog,Spayed Female,2 months,Redbone Hound,Red
A831870,,4/7/2021 18:10,Apr-21,1/19/2021,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A811242,Hattie,4/8/2021 11:47,Apr-21,12/30/2016,Adoption,,Dog,Spayed Female,4 years,Pit Bull,Blue
A831945,,4/8/2021 12:14,Apr-21,1/14/2021,Transfer,Partner,Dog,Intact Male,2 months,Miniature Pinscher Mix,Black/Red
A828642,*Bandit,4/8/2021 14:19,Apr-21,1/24/2012,Adoption,Foster,Dog,Neutered Male,9 years,Labrador Retriever,Brown/White
A830088,*Johnny,4/8/2021 15:10,Apr-21,1/11/2021,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever,Black/Red
A830090,*June,4/8/2021 15:14,Apr-21,1/11/2021,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever,White/Black
A831912,,4/8/2021 16:13,Apr-21,1/20/2021,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Tan/White
A831716,,4/8/2021 16:20,Apr-21,4/1/2019,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair,Fawn
A831917,,4/8/2021 16:36,Apr-21,4/4/2018,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair,Blue/White
A828815,Shaishai,4/8/2021 16:37,Apr-21,3/26/2020,Transfer,Partner,Dog,Spayed Female,1 year,Beagle Mix,Brown/Black
A828813,Scooby,4/8/2021 16:39,Apr-21,3/26/2020,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair/American Staffordshire Terrier,Brown
A828811,*Junebug,4/8/2021 16:41,Apr-21,3/26/2020,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever/American Staffordshire Terrier,Black/White
A831552,Gunner,4/8/2021 17:22,Apr-21,6/29/2018,Adoption,,Dog,Neutered Male,2 years,Pointer/Australian Cattle Dog,Black/White
A832127,Harry,4/8/2021 17:23,Apr-21,11/22/2020,Return to Owner,,Dog,Intact Male,4 months,Port Water Dog,Black/White
A825112,Zena,4/8/2021 17:49,Apr-21,10/28/2019,Adoption,,Dog,Spayed Female,1 year,German Shepherd,White/Tan
A831993,Aimee,4/9/2021 9:04,Apr-21,4/5/2019,Euthanasia,At Vet,Dog,Intact Female,2 years,Alaskan Husky Mix,White
A832158,Buddy,4/9/2021 11:16,Apr-21,4/8/2007,Return to Owner,,Dog,Neutered Male,14 years,Chihuahua Longhair,White/Brown
A832145,,4/9/2021 11:30,Apr-21,3/8/2021,Transfer,Partner,Dog,Intact Female,4 weeks,Chihuahua Longhair/Wire Hair Fox Terrier,Black/White
A831911,,4/9/2021 12:49,Apr-21,1/20/2021,Adoption,,Dog,Spayed Female,2 months,German Shepherd Mix,Tan
A831774,Lana,4/9/2021 13:25,Apr-21,1/1/2021,Adoption,,Dog,Spayed Female,3 months,German Shepherd Mix,Sable/White
A831864,Nemo,4/9/2021 13:37,Apr-21,4/3/2019,Adoption,,Dog,Neutered Male,2 years,American Pit Bull Terrier,Brown/White
A831959,*Nugget,4/9/2021 16:43,Apr-21,1/21/2021,Adoption,,Dog,Neutered Male,2 months,Boxer Mix,Black
A831666,*Roca,4/9/2021 17:22,Apr-21,1/19/2021,Adoption,,Dog,Spayed Female,2 months,Pit Bull,Brown Brindle
A831965,*Elko,4/9/2021 17:31,Apr-21,2/8/2021,Adoption,,Dog,Neutered Male,1 month,Staffordshire,Brown/White
A831577,Boomer,4/9/2021 18:05,Apr-21,12/29/2019,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Black
A832245,Zorro,4/9/2021 18:40,Apr-21,4/9/2018,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Tan/White
A810752,*Malcolm,4/10/2021 11:22,Apr-21,12/19/2017,Adoption,Foster,Dog,Neutered Male,3 years,Labrador Retriever,Black/White
A831663,Ella Marie,4/10/2021 12:32,Apr-21,8/31/2020,Adoption,,Dog,Spayed Female,7 months,Boxer,White/Black
A832256,,4/10/2021 12:48,Apr-21,4/10/2017,Return to Owner,,Dog,Intact Female,4 years,French Bulldog,Fawn
A832046,,4/10/2021 13:10,Apr-21,4/6/2019,Transfer,Partner,Dog,Intact Female,2 years,English Bulldog,Brown Brindle
A831978,Dreamers,4/10/2021 15:46,Apr-21,10/5/2019,Adoption,,Dog,Spayed Female,1 year,German Shepherd,Tan/Black
A831222,Capulina,4/10/2021 16:18,Apr-21,3/24/2019,Adoption,,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,Red/White
A831632,Kira,4/10/2021 17:41,Apr-21,3/30/2019,Adoption,,Dog,Spayed Female,2 years,Pointer/Australian Cattle Dog,White/Blue
A832164,,4/11/2021 12:08,Apr-21,2/9/2021,Return to Owner,,Dog,Intact Female,1 month,Labrador Retriever,Black
A832133,,4/11/2021 12:31,Apr-21,4/7/2016,Transfer,Partner,Dog,Intact Male,5 years,Great Pyrenees,White
A830448,Guppie,4/11/2021 13:30,Apr-21,3/9/2019,Adoption,,Dog,Neutered Male,2 years,Akita Mix,Black/White
A831916,*Spike,4/11/2021 13:44,Apr-21,4/4/2018,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair,Cream
A832038,,4/11/2021 13:44,Apr-21,4/6/2017,Transfer,Partner,Dog,Intact Male,4 years,Chihuahua Shorthair,Buff/White
A820962,Shelby,4/11/2021 14:59,Apr-21,8/14/2019,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd Mix,Sable
A832210,Sox,4/11/2021 15:28,Apr-21,10/9/2019,Return to Owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair,Brown/White
A829118,Apollo,4/11/2021 16:07,Apr-21,1/29/2021,Return to Owner,,Dog,Neutered Male,2 months,Labrador Retriever,Black/White
A831928,Pumpkin,4/11/2021 16:16,Apr-21,1/5/2020,Adoption,,Dog,Spayed Female,1 year,Ibizan Hound,Brown/White
A832302,,4/11/2021 16:40,Apr-21,1/11/2021,Transfer,Partner,Dog,Intact Male,2 months,Pit Bull,Chocolate/White
A832328,Peluche,4/11/2021 17:10,Apr-21,4/11/2009,Return to Owner,,Dog,Intact Male,12 years,Maltese/Miniature Poodle,White/White
A830559,*Timmy,4/11/2021 17:45,Apr-21,3/11/2020,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A775248,Magic,4/11/2021 17:51,Apr-21,4/20/2018,Adoption,,Dog,Neutered Male,2 years,Plott Hound Mix,Brown Brindle/White
A680889,Hansel,4/12/2021 12:17,Apr-21,12/9/2012,Transfer,Partner,Dog,Neutered Male,8 years,Dachshund Mix,Red
A832357,Bella,4/12/2021 13:16,Apr-21,11/12/2018,Return to Owner,,Dog,Intact Female,2 years,American Bulldog/American Staffordshire Terrier,White
A832350,,4/12/2021 13:33,Apr-21,11/12/2020,Transfer,Partner,Dog,Intact Female,4 months,Boxer,Brown Brindle/White
A740886,Choco,4/12/2021 15:56,Apr-21,10/24/2016,Adoption,,Dog,Neutered Male,4 years,Pit Bull Mix,White/Brown
A832346,Max,4/12/2021 15:59,Apr-21,10/12/2019,Transfer,Partner,Dog,Intact Male,1 year,Yorkshire Terrier,Tan/White
A831120,Zoey,4/12/2021 16:24,Apr-21,3/22/2020,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/Beagle,Black/White
A832105,*Frida,4/12/2021 16:55,Apr-21,4/7/2019,Adoption,,Dog,Spayed Female,2 years,Siberian Husky/Border Collie,Yellow/White
A832021,,4/12/2021 17:19,Apr-21,4/6/2019,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown
A831670,Zeus,4/12/2021 17:22,Apr-21,3/31/2019,Return to Owner,,Dog,Intact Male,2 years,Pit Bull,Blue/White
A822633,Tippsi,4/12/2021 17:30,Apr-21,5/6/2020,Return to Owner,,Dog,Intact Female,11 months,Cane Corso,Brown Brindle
A822632,Dinelo,4/12/2021 17:30,Apr-21,5/6/2020,Return to Owner,,Dog,Intact Male,11 months,Cane Corso,Black
A820274,Spike,4/13/2021 10:15,Apr-21,7/6/2014,Adoption,Foster,Dog,Neutered Male,6 years,Pit Bull/Blue Lacy,Blue/White
A831410,*Beau,4/13/2021 10:35,Apr-21,2/9/2021,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Cream
A832078,,4/13/2021 11:30,Apr-21,4/7/2020,Transfer,Partner,Dog,Neutered Male,1 year,Dachshund/Cocker Spaniel,Yellow
A832397,,4/13/2021 12:14,Apr-21,1/13/2021,Transfer,Partner,Dog,Intact Male,2 months,Chihuahua Shorthair/German Shepherd,Brown/Black
A821731,*Philip,4/13/2021 12:22,Apr-21,8/20/2014,Adoption,Foster,Dog,Neutered Male,6 years,Pit Bull,White/Brown
A831678,Rami,4/13/2021 13:10,Apr-21,7/31/2019,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,White/Gray
A831190,*Quimby,4/13/2021 14:14,Apr-21,7/24/2020,Adoption,,Dog,Spayed Female,8 months,Pit Bull,Black
A821492,Sasha,4/13/2021 14:25,Apr-21,8/12/2011,Adoption,Foster,Dog,Spayed Female,9 years,Pit Bull,White
A828788,*Casey,4/13/2021 16:05,Apr-21,3/26/2020,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Black/Brown
A832162,*Peanut,4/13/2021 16:24,Apr-21,4/8/2017,Transfer,Partner,Dog,Spayed Female,4 years,Airedale Terrier/Cairn Terrier,Cream
A832244,,4/13/2021 16:29,Apr-21,1/9/2021,Adoption,,Dog,Spayed Female,3 months,Queensland Heeler Mix,Red/White
A831815,*Sorcha,4/13/2021 17:38,Apr-21,4/2/2019,Adoption,,Dog,Spayed Female,2 years,Siberian Husky/Border Collie,Buff/Tan
A829986,Tater,4/14/2021 11:03,Apr-21,2/13/2021,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever Mix,Yellow
A832460,Mint,4/14/2021 11:25,Apr-21,2/1/2021,Transfer,Partner,Dog,Intact Female,2 months,Beagle/Pit Bull,White/Black
A828831,Rowdy,4/14/2021 12:10,Apr-21,1/26/2019,Adoption,,Dog,Spayed Female,2 years,Staffordshire,Brown/White
A831055,*Monk,4/14/2021 12:24,Apr-21,3/21/2018,Adoption,,Dog,Neutered Male,3 years,Blue Lacy Mix,Brown/White
A831305,Sadie,4/14/2021 14:43,Apr-21,3/25/2016,Adoption,,Dog,Spayed Female,5 years,Australian Cattle Dog,Blue Tick
A832335,Smokey,4/14/2021 15:35,Apr-21,4/13/2020,Return to Owner,,Dog,Intact Female,1 year,Pit Bull,Brown
A832334,Mijo,4/14/2021 15:36,Apr-21,4/13/2013,Return to Owner,,Dog,Intact Male,8 years,Yorkshire Terrier,Brown
A829814,*Ki,4/14/2021 15:52,Apr-21,8/24/2019,Adoption,,Dog,Spayed Female,1 year,Pit Bull,Tan
A831615,*Jackie,4/14/2021 17:12,Apr-21,3/30/2019,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/Brown
A831616,Brownie,4/14/2021 17:13,Apr-21,3/30/2019,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie Mix,Brown/Black
A832070,*Zinnia,4/14/2021 17:28,Apr-21,8/6/2020,Adoption,,Dog,Spayed Female,8 months,Pit Bull Mix,Black/White
A831777,Max,4/15/2021 9:28,Apr-21,4/1/2012,Died,At Vet,Dog,Neutered Male,9 years,Labrador Retriever Mix,Red
A821201,Prince,4/15/2021 13:42,Apr-21,8/6/2019,Adoption,,Dog,Neutered Male,1 year,Smooth Fox Terrier Mix,White/Blue Merle
A830820,Bubba,4/15/2021 14:03,Apr-21,1/17/2021,Adoption,Foster,Dog,Neutered Male,2 months,Boxer Mix,Brown Brindle/White
A816923,Ace,4/15/2021 14:13,Apr-21,5/2/2018,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A801856,*Neptune,4/15/2021 14:21,Apr-21,8/5/2017,Adoption,Foster,Dog,Neutered Male,3 years,Pit Bull,Black/White
A825459,Little John,4/15/2021 15:38,Apr-21,11/4/2018,Adoption,,Dog,Neutered Male,2 years,Pointer Mix,White/Black
A828829,Bella,4/15/2021 18:14,Apr-21,1/26/2019,Adoption,,Dog,Spayed Female,2 years,Staffordshire,Blue/White
A832583,Shadow,4/16/2021 8:00,Apr-21,4/15/2011,Return to Owner,Field,Dog,Intact Male,10 years,Labrador Retriever,Black/White
A832389,*Sunny,4/16/2021 10:55,Apr-21,4/12/2017,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair,Brown/White
A832396,*Bandit,4/16/2021 10:56,Apr-21,12/29/2020,Adoption,,Dog,Spayed Female,3 months,German Shepherd/Australian Shepherd,Black/Tan
A832310,,4/16/2021 11:03,Apr-21,11/11/2019,Adoption,,Dog,Neutered Male,1 year,German Shepherd/Siberian Husky,Black/Tan
A832501,,4/16/2021 11:18,Apr-21,2/14/2021,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair,Tan/Tan
A832027,*Courage,4/16/2021 11:37,Apr-21,12/4/2020,Adoption,,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black
A809823,Little Girl,4/16/2021 12:05,Apr-21,12/2/2017,Return to Owner,,Dog,Intact Female,3 years,Basenji/Carolina Dog,Tan/White
A830449,Ham,4/16/2021 12:17,Apr-21,1/9/2020,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Black
A825606,Oreo,4/16/2021 12:50,Apr-21,8/7/2020,Rto-Adopt,,Dog,Spayed Female,8 months,Australian Cattle Dog,Black/White
A826259,*Henry,4/16/2021 13:39,Apr-21,11/23/2018,Transfer,Partner,Dog,Neutered Male,2 years,German Shepherd,Brown/Black
A831958,Daisy,4/16/2021 14:08,Apr-21,4/6/2015,Transfer,Partner,Dog,Spayed Female,6 years,Toy Poodle/Yorkshire Terrier,Black
A832390,*Teddy,4/16/2021 14:09,Apr-21,4/12/2017,Transfer,Partner,Dog,Neutered Male,4 years,Border Terrier/Dachshund,Brown Brindle/White
A826599,Pearl,4/16/2021 14:10,Apr-21,12/2/2018,Adoption,,Dog,Spayed Female,2 years,Pit Bull,Tan/Brown
A831273,*Alvin,4/16/2021 15:23,Apr-21,9/25/2019,Transfer,Partner,Dog,Intact Male,1 year,Pit Bull,Brown/White
A832591,,4/16/2021 15:24,Apr-21,4/16/2018,Transfer,Partner,Dog,Intact Male,3 years,Great Pyrenees/German Shepherd,White/Black
A828812,*Baby Boy,4/16/2021 15:34,Apr-21,3/26/2020,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull,Black
A831088,,4/16/2021 15:36,Apr-21,3/22/2020,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tricolor/White
A830471,Puddles,4/16/2021 15:52,Apr-21,3/10/2019,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,White
A832518,Maximillian,4/16/2021 16:07,Apr-21,4/14/2019,Return to Owner,,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A832174,Monster,4/16/2021 16:11,Apr-21,4/9/2013,Adoption,,Dog,Spayed Female,8 years,Pit Bull,Blue
A832621,,4/16/2021 16:12,Apr-21,3/1/2021,Transfer,Partner,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown
A832620,,4/16/2021 16:12,Apr-21,3/1/2021,Transfer,Partner,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown
A832622,,4/16/2021 16:13,Apr-21,3/1/2021,Transfer,Partner,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown
A832421,*Louisa,4/17/2021 7:28,Apr-21,4/13/2019,Transfer,Partner,Dog,Intact Female,2 years,German Shepherd,Black
A832422,,4/17/2021 7:29,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Male,2 weeks,German Shepherd/Labrador Retriever,Buff
A832424,,4/17/2021 7:29,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Female,2 weeks,German Shepherd/Labrador Retriever,Tan/Black
A832423,,4/17/2021 7:29,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Male,2 weeks,German Shepherd/Labrador Retriever,Tan/White
A832427,,4/17/2021 7:30,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Male,2 weeks,German Shepherd/Labrador Retriever,Black
A832425,,4/17/2021 7:30,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Male,2 weeks,German Shepherd/Labrador Retriever,Sable/Black
A832426,,4/17/2021 7:30,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Female,2 weeks,German Shepherd/Labrador Retriever,Buff
A832428,,4/17/2021 7:30,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Male,2 weeks,German Shepherd/Labrador Retriever,Black/Brown
A832429,,4/17/2021 7:31,Apr-21,3/28/2021,Transfer,Partner,Dog,Intact Male,2 weeks,German Shepherd/Labrador Retriever,Black
A832367,Fiji,4/17/2021 11:15,Apr-21,4/12/2020,Transfer,Partner,Dog,Neutered Male,1 year,German Wirehaired Pointer Mix,Fawn/White
A832643,Charlie,4/17/2021 12:08,Apr-21,4/17/2016,Return to Owner,,Dog,Unknown,5 years,Miniature Poodle,White
A832041,Tiny,4/17/2021 12:33,Apr-21,4/6/2019,Adoption,Offsite,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A831614,*Sunny,4/17/2021 13:12,Apr-21,3/30/2019,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair,Tricolor
A830052,*Major,4/17/2021 13:36,Apr-21,3/1/2020,Adoption,,Dog,Neutered Male,1 year,Dutch Shepherd/German Shepherd,Black/Brown Brindle
A795600,Cole,4/17/2021 17:27,Apr-21,6/9/2016,Adoption,,Dog,Neutered Male,4 years,Pit Bull/Bull Terrier,Black/White
A832523,,4/18/2021 10:34,Apr-21,4/15/2014,Euthanasia,At Vet,Dog,Intact Female,7 years,Yorkshire Terrier,Brown/Black
A831818,*Tucker,4/18/2021 12:21,Apr-21,4/2/2019,Adoption,,Dog,Neutered Male,2 years,Great Dane/Pointer,Brown/White
A832499,Shirley,4/18/2021 12:58,Apr-21,4/14/2019,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair,Black/Black
A832498,Stella,4/18/2021 12:58,Apr-21,4/14/2019,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair,Tan/Tan
A824291,*Sophia,4/18/2021 13:43,Apr-21,10/10/2019,Adoption,,Dog,Spayed Female,1 year,Beagle/Boxer,Brown Brindle/White
